Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
1455,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.92095255398313
1460,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.09533527605925
1465,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.86116897505887
1470,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.09364022253821
1475,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.78674062634595
1480,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.96126911914912
1485,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.28764229135072
1490,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.05687591224553
1495,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.74041384166682
1500,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.9124703101867
1505,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.23073769627611
1510,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.8206981846398
1515,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.843113987578
1520,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.249404317851
1525,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.45801209247534
1530,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.69953157137027
1535,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.15792236828054
1540,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.59327180545486
1545,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.13125391815164
1550,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.81714527623629
1555,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.25965385450984
1560,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.32825481380698
1565,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.76313233930199
1570,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.68483821580018
1575,grid,corr,0.05,1,50.01676791587411,3.1032,10,65.659133056222
1580,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.22705833356487
1585,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.09487784846661
1590,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.56357122267427
1595,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.51081825444183
1600,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.35893913155608
1605,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.34236581331002
1610,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.73042639418468
1615,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.70036719171459
1620,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.5279254374705
1625,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.09444127865565
1630,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.5378218490215
1635,grid,corr,0.05,1,50.01676791587411,3.1032,10,68.071217231462
1640,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.36449660810288
1645,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.10694572321613
1650,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.13160336911292
1655,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.30559908077805
1660,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.64606100790607
1665,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.77866327848756
1670,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.71655597724282
1675,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.14073707128499
1680,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.91650218703799
1685,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.8653869207387
1690,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.0739565918823
1695,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.71551814417577
1700,grid,corr,0.05,1,50.01676791587411,3.1032,10,67.75668812494693
1705,grid,corr,0.05,1,50.01676791587411,3.1032,10,66.93031092401674
