Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
1505,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35077730888403547
1510,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.350662242488445
1515,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3502815031233508
1520,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3515472258148422
1525,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35162509075405446
1530,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3508625301511299
1535,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35218600611807227
1540,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3506772235283505
1545,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3516027384855873
1550,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35143567884638294
1555,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3500400647036337
1560,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3495806941288354
1565,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.34792378560810433
1570,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3500132261031118
1575,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35130155403275964
1580,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35062137128329773
1585,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3496699645845772
1590,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.34879983599792286
1595,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35061103167439855
1600,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35036904743982
1605,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3534133382540282
1610,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35248016530799753
1615,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3534184412120932
1620,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35581460819444655
1625,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35220189984748207
1630,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35235111367508487
1635,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3548274376777415
1640,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3571688632810487
1645,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35854690256316646
1650,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3554164863995598
1655,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3531419097838089
1660,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3546696891484171
1665,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3533530655039011
1670,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35140001789724085
1675,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35168265793301423
1680,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3526934214769304
